# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-15 11:42:48.539
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009086,-0.2449,-0.1533,0.5735,0.64
0.016908,-0.2699,-0.2293,0.4978,0.61
0.025243,-0.1937,-0.2018,0.3494,0.45
0.035181,-0.1813,-0.1494,0.0332,0.24
0.048219,-0.0954,-0.1744,-0.1456,0.25
0.056958,-0.0195,-0.2593,-0.1493,0.30
0.069565,0.0425,-0.3299,-0.1552,0.37
0.072870,0.0493,-0.3888,-0.1525,0.42
0.088436,0.1301,-0.3372,-0.2896,0.46
0.097086,0.1416,-0.3058,-0.2714,0.43
0.104725,-0.0292,-0.3296,-0.2910,0.44
0.113746,-0.1476,-0.3150,-0.2962,0.46
0.128582,-0.1918,-0.1231,-0.0773,0.24
0.139210,-0.1367,-0.0247,0.0128,0.14
0.143656,-0.0506,0.0162,-0.0383,0.07
0.160628,-0.0307,-0.1341,-0.0593,0.15
0.169036,0.0180,-0.2605,0.0631,0.27
0.176465,0.0885,-0.3317,0.1582,0.38
0.184321,0.1590,-0.3023,0.1501,0.37
0.200355,0.2124,-0.1687,0.0189,0.27
0.207732,0.1776,-0.1963,-0.0028,0.26
0.216269,-0.0610,-0.3126,-0.0510,0.32
0.224279,-0.0002,-0.3692,-0.1324,0.39
0.240500,0.1326,-0.1405,-0.2179,0.29
0.247933,0.0087,-0.1310,-0.1986,0.24
0.255500,0.0135,-0.0694,-0.1793,0.19
0.264243,0.0490,-0.0082,-0.1114,0.12
0.280279,-0.0093,-0.0213,-0.0047,0.02
0.289108,-0.0479,-0.0665,0.0371,0.09
0.297407,-0.0291,-0.1380,0.0601,0.15
0.305423,0.0898,-0.4992,0.0610,0.51
0.314366,0.0323,-0.4338,0.2019,0.48
0.323841,-0.1865,-0.3542,0.2113,0.45
0.335936,-0.3961,-0.3577,0.1638,0.56
0.344276,-0.3326,-0.2329,0.1734,0.44
0.359322,-0.2126,0.1482,-0.1396,0.29
0.367792,-0.0984,0.3927,-0.2820,0.49
0.375816,0.0082,0.5873,-0.3007,0.66
0.383802,0.1041,0.6982,-0.2103,0.74
0.399336,0.2825,0.5520,0.1814,0.65
0.407735,0.2557,0.4094,0.3425,0.59
0.415294,0.1901,0.1376,0.4077,0.47
0.423781,0.1770,-0.0933,0.4044,0.45
0.439484,0.5949,-0.0796,0.4091,0.73
0.447928,0.8747,-0.0075,0.2940,0.92
0.456567,0.9527,0.2012,0.2409,1.00
0.465577,0.7626,0.4506,0.2424,0.92
0.473995,0.9674,1.7475,1.2398,2.35
0.487477,0.4561,0.5815,-0.5546,0.92
0.498774,0.2369,0.1088,-0.2506,0.36
0.506355,-0.2145,-0.1765,0.1964,0.34
0.515121,-0.1960,-0.3034,0.2042,0.41
0.524219,-0.1133,-0.1326,0.1412,0.22
0.535368,0.5868,-0.3159,0.3118,0.74
0.543676,0.4017,-0.0239,0.2949,0.50
0.559383,0.9631,-0.3381,0.0239,1.02
0.566840,0.7936,-0.0175,-0.0244,0.79
0.575306,0.4070,0.2194,-0.1374,0.48
0.583457,-0.2722,0.5423,-0.1716,0.63
0.599450,-0.1387,0.1562,-0.0507,0.21
0.606802,-0.1241,-0.0138,0.0021,0.12
0.615462,0.0244,-0.2359,0.1827,0.30
0.623116,0.1062,-0.5031,0.5897,0.78
0.638975,-0.0759,-0.7328,0.2390,0.77
0.650015,0.1587,-0.7025,0.2083,0.75
0.656108,0.2086,-0.6096,0.3404,0.73
