Regiões de Saúde (CIR),Densidade Populacional,População Residente,Septicemia,Pneumonia,Outras doenças do aparelho respiratório,Insuficiência cardíaca,Acid vascular cerebr não espec hemorrág ou isq,Outr sist sinais achad anorm ex clín labor NCOP,Outras doenças bacterianas,Insuficiência renal,Infarto agudo do miocárdio,Outras doenças do aparelho urinário
35011 Alto do Tietê,1027.79,3039009,1584,1016,419,456,490,219,164,232,221,122
35012 Franco da Rocha,808.14,616466,229,204,87,62,94,129,46,45,49,50
35013 Mananciais,760.04,1163304,708,456,155,206,146,81,54,83,113,37
35014 Rota dos Bandeirantes,3528.68,2038754,908,435,351,281,303,301,194,130,182,105
35015 Grande ABC,3252.75,2792766,2069,745,498,313,292,256,215,233,195,173
35016 São Paulo,7529.26,11904961,7433,2837,1946,1239,1043,981,669,741,848,462
35021 Central do DRS II,50.29,308523,156,302,73,54,8,27,13,57,22,31
35022 Lagos do DRS II,26.61,202400,34,228,46,23,31,27,36,19,8,25
35023 Consórcios do DRS II,60.59,271091,83,241,45,64,39,12,21,40,30,24
35031 Central do DRS III,111.47,327141,124,152,47,28,48,31,11,38,35,50
35032 Coração do DRS III,125.77,405425,206,181,54,55,61,24,87,29,34,49
35033 Noroeste do DRS III,67.65,294007,239,184,77,47,63,31,44,46,34,25
35041 Baixada Santista,743.02,1867558,590,437,338,240,239,97,270,251,123,110
35051 Norte - Barretos,45.18,294206,109,254,40,43,48,30,35,32,28,65
35052 Sul - Barretos,80.49,145775,38,110,14,20,13,19,9,19,10,31
35061 Vale do Jurumirim,37.53,312825,138,176,50,41,35,21,30,34,19,33
35062 Bauru,77.63,665703,238,235,139,77,94,56,17,42,30,68
35063 Polo Cuesta,47.42,312371,339,194,122,57,25,32,100,16,32,20
35064 Jaú,72.22,332587,146,242,141,58,9,54,17,22,27,48
35065 Lins,40.94,161585,105,92,35,29,23,7,53,29,16,28
35071 Bragança,153.38,515816,260,203,76,61,69,63,79,41,47,91
35072 Região Metropolitana de Campinas,857.73,3297237,1918,919,545,314,424,402,313,236,215,179
35073 Jundiaí,664.28,880995,517,233,118,60,98,98,20,25,52,73
35074 Circuito das Águas,151.47,135177,109,97,26,28,18,13,23,12,15,5
35081 Três Colinas,123.23,438622,552,166,72,49,45,15,103,20,23,32
35082 Alta Anhanguera,46.11,151504,60,76,12,21,20,32,23,9,9,22
35083 Alta Mogiana,39.51,113471,82,110,21,13,20,12,16,15,13,21
35091 Adamantina,52.42,133802,115,115,34,40,30,18,60,10,14,15
35092 Assis,47.94,240559,114,208,56,63,49,38,41,35,39,12
35093 Marília,56.53,394538,376,218,137,71,48,54,15,54,22,28
35094 Ourinhos,56.95,236503,114,156,75,44,56,8,21,26,24,40
35095 Tupã,46.43,128391,251,60,19,24,28,14,4,22,19,7
35101 Araras,158.89,346382,114,212,68,47,54,22,39,33,29,37
35102 Limeira,379.15,369339,65,167,66,36,55,30,7,39,21,27
35103 Piracicaba,171.41,627988,128,109,127,54,68,41,80,45,35,31
35104 Rio Claro,131.28,265986,154,45,55,41,26,15,34,11,15,5
35111 Alta Paulista,40.13,135722,97,144,37,32,40,13,24,12,12,20
35112 Alta Sorocabana,54.65,419055,228,145,65,67,79,24,235,31,37,28
35113 Alto Capivari,15.96,57699,40,48,27,21,9,5,13,14,5,-
35114 Extremo Oeste Paulista,22.17,89637,50,75,23,21,15,17,21,12,8,7
35115 Pontal do Paranapanema,15.43,63946,58,52,10,18,14,10,30,7,15,9
35121 Vale do Ribeira,20.91,283810,17,143,52,37,31,33,10,60,18,43
35131 Horizonte Verde,140.81,426099,199,209,56,48,32,31,30,31,30,52
35132 Aquífero Guarani,201.35,954063,449,409,150,104,67,80,103,100,82,93
35133 Vale das Cachoeiras,40.39,139645,115,105,25,40,14,12,13,9,8,22
35141 Baixa Mogiana,173.17,341707,168,185,77,67,48,45,92,32,51,36
35142 Mantiqueira,97.34,275677,163,146,90,66,68,24,11,35,26,29
35143 Rio Pardo,59.97,210669,80,187,42,46,56,22,20,27,26,40
35151 Catanduva,62.33,305504,232,302,207,50,37,25,8,29,25,76
35152 Santa Fé do Sul,47.14,54891,12,30,12,7,9,4,4,6,7,13
35153 Jales,41.02,104478,199,62,23,14,12,37,9,13,17,6
35154 Fernandópolis,36.78,125169,178,47,22,21,7,10,25,11,9,6
35155 São José do Rio Preto,115.44,799418,184,397,57,26,23,19,42,41,58,120
35156 José Bonifácio,32.95,104417,14,54,10,6,-,10,6,5,13,13
35157 Votuporanga,37.02,203774,64,156,20,23,48,85,7,35,19,24
35161 Itapetininga,61.77,513863,222,385,93,111,86,32,41,71,79,104
35162 Itapeva,28.24,278990,176,186,38,53,64,40,36,21,29,17
35163 Sorocaba,236.23,1859121,558,889,271,219,306,131,113,132,126,232
35171 Alto Vale do Paraíba,284.08,1132079,538,408,165,180,137,147,102,107,103,140
35172 Circuito da Fé e Vale Histórico,73.7,466193,362,216,58,86,74,73,108,49,42,40
35173 Litoral Norte,177.43,360183,198,113,101,40,66,67,60,32,34,42
35174 Vale do Paraíba/Região Serrana,146.3,643225,40,222,70,63,35,29,20,48,45,69
